,CHARACTERISTIC_NAME,CHARACTERISTIC_ID
685,            Anishinaabemowin (Chippewa),1105
686,            Daawaamwin (Odawa),1106
687,            Saulteau (Western Ojibway),1107
688,"            Ojibway, n.o.s.",1108
689,"        Algonquian languages, n.i.e.",1109
690,      Athabaskan languages,1110
691,        Northern Athabaskan languages,1111
692,          Dakelh (Carrier),1112
693,          Dane-zaa (Beaver),1113
694,"          Dene, n.o.s.",1114
695,          Gwich'in,1115
696,          Slavey-Hare languages,1116
697,            Deh Gah Ghotie Zhatie (South Slavey),1117
698,            Satuotine Yati (North Slavey),1118
699,"            Slavey, n.o.s.",1119
700,          Tahltan languages,1120
701,            Kaska (Nahani),1121
702,            Tahltan,1122
703,          Tlicho (Dogrib),1123
704,          Tse'khene (Sekani),1124
705,          Tsilhqot'in (Chilcotin),1125
706,          Tsuu T'ina (Sarsi),1126
707,          Tutchone languages,1127
708,            Northern Tutchone,1128
709,            Southern Tutchone,1129
710,"            Tutchone, n.o.s.",1130
711,          Wetsuwet'en-Babine,1131
712,        Tlingit,1132
713,"        Athabaskan languages, n.i.e.",1133
714,      Haida,1134
715,      Inuktut (Inuit) languages,1135
716,        Inuinnaqtun (Inuvialuktun),1136
717,          Inuinnaqtun,1137
718,          Inuvialuktun,1138
719,        Inuktitut,1139
720,"        Inuktut (Inuit) languages, n.i.e.",1140
721,      Iroquoian languages,1141
722,        Cayuga,1142
723,        Mohawk,1143
724,        Oneida,1144
725,"        Iroquoian languages, n.i.e.",1145
726,      Ktunaxa (Kutenai),1146
727,      Michif,1147
728,      Salish languages,1148
729,        Halkomelem,1149
730,        Lillooet,1150
731,        Ntlakapamux (Thompson),1151
732,        Secwepemctsin (Shuswap),1152
733,        Squamish,1153
734,        Straits,1154
735,        Syilx (Okanagan),1155
736,"        Salish languages, n.i.e.",1156
737,      Siouan languages,1157
738,        Assiniboine,1158
739,        Dakota,1159
740,        Stoney,1160
741,"        Siouan languages, n.i.e.",1161
742,      Tsimshian languages,1162
743,        Gitxsan (Gitksan),1163
744,        Nisga'a,1164
745,        Tsimshian,1165
746,      Wakashan languages,1166
747,        Haisla,1167
748,        Heiltsuk,1168
749,        Kwak'wala (Kwakiutl),1169
750,        Nuu-chah-nulth (Nootka),1170
751,"        Wakashan languages, n.i.e.",1171
